function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Capability Building on Fire Prevention and Suppression with Forest Zones-260515,Capability Building on Fire Prevention and Suppression with Forest Zones-260515,2652.5,2652.5,0,0,2652.5
Capability Building on Fire Prevention and Suppression with Forest Zones-260515,Maintenance and Other Operating Expenses,2652.5,2652.5,0,0,2652.5
Trainings/Seminar on Paralegal Forest Zones-260515,Trainings/Seminar on Paralegal Forest Zones-260515,4908.3,4908.3,0,0,4908.3
Trainings/Seminar on Paralegal Forest Zones-260515,Maintenance and Other Operating Expenses,4908.3,4908.3,0,0,4908.3
Livelihood Support Project for Upland Farmers-260517,Livelihood Support Project for Upland Farmers-260517,2231.3,2231.3,0,0,2231.3
Livelihood Support Project for Upland Farmers-260517,Maintenance and Other Operating Expenses,2231.3,2231.3,0,0,2231.3
Fame Project-260518,Fame Project-260518,14493.81,14493.81,12265.87,0,2227.94
Fame Project-260518,Maintenance and Other Operating Expenses,14493.81,14493.81,12265.87,0,2227.94
Allocation of Open Access Areas within the LMFR-260520,Allocation of Open Access Areas within the LMFR-260520,68430.43,68430.43,0,0,68430.43
Allocation of Open Access Areas within the LMFR-260520,Maintenance and Other Operating Expenses,68430.43,68430.43,0,0,68430.43
Provincial Ecological Waste Management Project-260521,Provincial Ecological Waste Management Project-260521,114871.58,114871.58,0,0,114871.58
Provincial Ecological Waste Management Project-260521,Maintenance and Other Operating Expenses,114871.58,114871.58,0,0,114871.58
"Operationalization Of Quarry, SAG and SSM, Regulatory Board-260522","Operationalization Of Quarry, SAG and SSM, Regulatory Board-260522",806.49,806.49,0,0,806.49
"Operationalization Of Quarry, SAG and SSM, Regulatory Board-260522",Maintenance and Other Operating Expenses,806.49,806.49,0,0,806.49
DBP Forest Program-AO#2010-147-260523,DBP Forest Program-AO#2010-147-260523,1112066.09,1112066.09,339893.56,0,772172.53
DBP Forest Program-AO#2010-147-260523,Maintenance and Other Operating Expenses,154866.27,154866.27,21665.31,0,133200.96
DBP Forest Program-AO#2010-147-260523,Capital Outlay,957199.82,957199.82,318228.25,0,638971.57
Ecodev-2606 Agriculture-260601 Balik-Igat and Other Species Production Project (Provincewide)-26060101,Ecodev-2606 Agriculture-260601 Balik-Igat & Other Species Production Project (Provincewide)-26060101,50000,50000,0,0,50000
Ecodev-2606 Agriculture-260601 Balik-Igat and Other Species Production Project (Provincewide)-26060101,Maintenance and Other Operating Expenses,50000,50000,0,0,50000
Pest Control Competition Project (Provincewide)-26060102,Pest Control Competition Project (Provincewide)-26060102,41.6,41.6,0,0,41.6
Pest Control Competition Project (Provincewide)-26060102,Maintenance and Other Operating Expenses,41.6,41.6,0,0,41.6
Operation and Maintenance of NVFITSC-26060103,Operation & Maintenance of NVFITSC-26060103,10292,10292,0,0,10292
Operation and Maintenance of NVFITSC-26060103,Maintenance and Other Operating Expenses,10292,10292,0,0,10292
Postharvest Facility Development Project (Provincewide)-26060104,Postharvest Facility Development Project (Provincewide)-26060104,1024687.51,1024687.51,976610,0,48077.51
Postharvest Facility Development Project (Provincewide)-26060104,Maintenance and Other Operating Expenses,1024687.51,1024687.51,976610,0,48077.51
Fingerling Production at Polloc-26060105,Fingerling Production at Polloc-26060105,60330.71,11186.07,9000,49144.64,2186.07
Fingerling Production at Polloc-26060105,Maintenance and Other Operating Expenses,60330.71,11186.07,9000,49144.64,2186.07
PAFC Operationalization-26060106,PAFC Operationalization-26060106,2520,2520,0,0,2520
PAFC Operationalization-26060106,Maintenance and Other Operating Expenses,2520,2520,0,0,2520
Improvement PF Various FMR-26060107,Improvement PF Various FMR-26060107,4439.07,4439.07,0,0,4439.07
Improvement PF Various FMR-26060107,Maintenance and Other Operating Expenses,4439.07,4439.07,0,0,4439.07
Grains and High Value Commercial Crops Development Project-26060109,Grains and High Value Commercial Crops Development Project-26060109,46442.6,46442.6,0,0,46442.6
Grains and High Value Commercial Crops Development Project-26060109,Maintenance and Other Operating Expenses,46442.6,46442.6,0,0,46442.6
Development of Organic Model Farm Project-26060110,Development of Organic Model Farm Project-26060110,74951.14,74951.14,28200,0,46751.14
Development of Organic Model Farm Project-26060110,Maintenance and Other Operating Expenses,74951.14,74951.14,28200,0,46751.14
"Tourism-260602 Eco-Tourism Exploration, Protection and Site Development Project-26060201","Tourism-260602 Eco-Tourism Exploration, Protection and Site Development Project-26060201",2082,2082,0,0,2082
"Tourism-260602 Eco-Tourism Exploration, Protection and Site Development Project-26060201",Maintenance and Other Operating Expenses,2082,2082,0,0,2082
Production of Printed Promotional Materials Project-26060202,Production of Printed Promotional Materials Project-26060202,5000,5000,0,0,5000
Production of Printed Promotional Materials Project-26060202,Maintenance and Other Operating Expenses,5000,5000,0,0,5000
Visit Vizcaya Project (15 Municipalities Of NV)-26060203,Visit Vizcaya Project (15 Municipalities Of NV)-26060203,6578.89,6578.89,0,0,6578.89
Visit Vizcaya Project (15 Municipalities Of NV)-26060203,Maintenance and Other Operating Expenses,6578.89,6578.89,0,0,6578.89
Kultura Sa Vizcaya (National Arts Month Celebration)-26060204,Kultura Sa Vizcaya (National Arts Month Celebration)-26060204,1481,1481,0,0,1481
Kultura Sa Vizcaya (National Arts Month Celebration)-26060204,Maintenance and Other Operating Expenses,1481,1481,0,0,1481
Museo Eskwela (A Museum Advocacy Project)-26060205,Museo Eskwela (A Museum Advocacy Project)-26060205,13460,13460,0,0,13460
Museo Eskwela (A Museum Advocacy Project)-26060205,Maintenance and Other Operating Expenses,13460,13460,0,0,13460
Special Events-26060206,Special Events-26060206,7950,7950,0,0,7950
Special Events-26060206,Maintenance and Other Operating Expenses,7950,7950,0,0,7950
Eco-Challenge Project (with Coverage Provincewide)-26060207,Eco-Challenge Project (with Coverage Provincewide)-26060207,4635,4635,0,0,4635
Eco-Challenge Project (with Coverage Provincewide)-26060207,Maintenance and Other Operating Expenses,4635,4635,0,0,4635
Cooperative - 260603 Technology and Livelihood Tri-Media Advocacy Project-26060302,Cooperative - 260603 Technology & Livelihood Tri-Media Advocacy Project-26060302,2227,2227,0,0,2227
Cooperative - 260603 Technology and Livelihood Tri-Media Advocacy Project-26060302,Maintenance and Other Operating Expenses,2227,2227,0,0,2227
Improved Business/ Industrial Planning and Development Project-26060303,Improved Business/ Industrial Planning & Development Project-26060303,30299.25,30299.25,0,0,30299.25
Improved Business/ Industrial Planning and Development Project-26060303,Maintenance and Other Operating Expenses,30299.25,30299.25,0,0,30299.25
Adequate Skills on Enterprise Management Project-26060304,Adequate Skills on Enterprise Management Project-26060304,5000,5000,0,0,5000
Adequate Skills on Enterprise Management Project-26060304,Maintenance and Other Operating Expenses,5000,5000,0,0,5000
Livestock-260604 Swine Upgrading Project-26060401,Livestock-260604 Swine Upgrading Project-26060401,3938,3938,0,0,3938
Livestock-260604 Swine Upgrading Project-26060401,Maintenance and Other Operating Expenses,3938,3938,0,0,3938
Carabao and Cattle Upgrading Project-26060402,Carabao & Cattle Upgrading Project-26060402,1411.1,1411.1,1260,0,151.1
Carabao and Cattle Upgrading Project-26060402,Maintenance and Other Operating Expenses,1411.1,1411.1,1260,0,151.1
Dairy Development Project-26060404,Dairy Development Project-26060404,10000,10000,0,0,10000
Dairy Development Project-26060404,Maintenance and Other Operating Expenses,10000,10000,0,0,10000
Range Dual-Type Poultry Prod.-26060405,Range Dual-Type Poultry Prod.-26060405,200000,0,0,200000,0
Range Dual-Type Poultry Prod.-26060405,Maintenance and Other Operating Expenses,200000,0,0,200000,0
Small Ruminants Dispersal Livelihood Projects-26060406,Small Ruminants Dispersal Livelihood Projects-26060406,300000,300000,147000,0,153000
Small Ruminants Dispersal Livelihood Projects-26060406,Maintenance and Other Operating Expenses,300000,300000,147000,0,153000
Maintenance of Animal and Extension Services-26060407,Maintenance Of Animal & Extension Services-26060407,5214,5214,0,0,5214
Maintenance of Animal and Extension Services-26060407,Maintenance and Other Operating Expenses,5214,5214,0,0,5214
Rabies Prevention and Control Services-26060408,Rabies Prevention & Control Services-26060408,402705.54,402705.54,211939,0,190766.54
Rabies Prevention and Control Services-26060408,Maintenance and Other Operating Expenses,402705.54,402705.54,211939,0,190766.54
Nueva Vizcaya Bird Flu Preparedness and Response Project-26060409,Nueva Vizcaya Bird Flu Preparedness and Response Project-26060409,67395,67395,17535.77,0,49859.23
Nueva Vizcaya Bird Flu Preparedness and Response Project-26060409,Maintenance and Other Operating Expenses,67395,67395,17535.77,0,49859.23
Wildlife Restoration and Conservation Project-26060410,Wildlife Restoration and Conservation Project-26060410,185325,185325,181600,0,3725
Wildlife Restoration and Conservation Project-26060410,Maintenance and Other Operating Expenses,185325,185325,181600,0,3725
2011-2700 Provincial Commitment - 2701 Municipal Development Assistance Project (1000.2.6)(Go-Exec)-270101,2011-2700 Provincial Commitment - 2701 Municipal Development Assistance Project (1000.2.6)(Go-Exec)-270101,6100000,6100000,2976386.2,0,3123613.8
2011-2700 Provincial Commitment - 2701 Municipal Development Assistance Project (1000.2.6)(Go-Exec)-270101,Maintenance and Other Operating Expenses,6100000,6100000,2976386.2,0,3123613.8
PDC Operation (1000-9.7) (PPDO)-270103,PDC Operation (1000-9.7) (PPDO)-270103,591250,141250,0,450000,141250
PDC Operation (1000-9.7) (PPDO)-270103,Maintenance and Other Operating Expenses,591250,141250,0,450000,141250
Public Order and Safety Project (PPOC) (1000.40.3) (Go-DILG-PNP)-270104,Public Order and Safety Project (PPOC) (1000.40.3) (Go-DILG-PNP)-270104,210995,87995,0,123000,87995
Public Order and Safety Project (PPOC) (1000.40.3) (Go-DILG-PNP)-270104,Maintenance and Other Operating Expenses,210995,87995,0,123000,87995
Housing and Community Development (Gawad Kalinga) (6000)-270105,Housing & Community Development (Gawad Kalinga) (6000)-270105,3654173.88,569173.88,132194.88,3085000,436979
Housing and Community Development (Gawad Kalinga) (6000)-270105,Maintenance and Other Operating Expenses,3654173.88,569173.88,132194.88,3085000,436979
Smoke Free Nueva Vizcaya (4000.1.23) (GO/PHO)-270106,Smoke Free Nueva Vizcaya (4000.1.23) (GO/PHO)-270106,164283.02,164283.02,61655.25,0,102627.77
Smoke Free Nueva Vizcaya (4000.1.23) (GO/PHO)-270106,Maintenance and Other Operating Expenses,164283.02,164283.02,61655.25,0,102627.77
Repair and Maintenance of Irrigation System Project (8000.17.1)(PGO/PAGRO/PEO/NIA)-270107 ,Repair & Maintenance of Irrigation System Project (8000.17.1)(PGO/PAGRO/PEO/NIA)-270107 ,3104541.05,3104541.05,1832679.18,0,1271861.87
Repair and Maintenance of Irrigation System Project (8000.17.1)(PGO/PAGRO/PEO/NIA)-270107 ,Maintenance and Other Operating Expenses,3104541.05,3104541.05,1832679.18,0,1271861.87
Lower Magat Eco Tourism Project (8000.29.6.2) (Go)-270108,Lower Magat Eco Tourism Project (8000.29.6.2) (Go)-270108,1125163.52,1125163.52,962271.86,0,162891.66
Lower Magat Eco Tourism Project (8000.29.6.2) (Go)-270108,Maintenance and Other Operating Expenses,1125163.52,1125163.52,962271.86,0,162891.66
Lower Magat Eco Tourism Project (8000.29.6.2) (Go)-270108,Capital Outlay,0,0,0,0,0
General Services-2702 Management Development Fund (1000.2.8) (Go-Exec)-270201,General Services-2702 Management Development Fund (1000.2.8) (Go-Exec)-270201,4010337.67,2610337.67,952750.5,1400000,1657587.17
General Services-2702 Management Development Fund (1000.2.8) (Go-Exec)-270201,Maintenance and Other Operating Expenses,4010337.67,2610337.67,952750.5,1400000,1657587.17
Provincial Executive Agenda (1000.2.9) (Go-Exec)-270202,Provincial Executive Agenda (1000.2.9) (Go-Exec)-270202,2500000,0,0,2500000,0
Provincial Executive Agenda (1000.2.9) (Go-Exec)-270202,Maintenance and Other Operating Expenses,2500000,0,0,2500000,0
Barangay Development Fund (1000.2.10) (Go-Exec)-270203,Barangay Development Fund (1000.2.10) (Go-Exec)-270203,1500000,1500000,97425,0,1402575
Barangay Development Fund (1000.2.10) (Go-Exec)-270203,Maintenance and Other Operating Expenses,1500000,1500000,97425,0,1402575
PMS-OPES Implementation (1000.3.7) (Pa's Office)-270204,PMS-OPES Implementation (1000.3.7) (Pa's Office)-270204,100000,0,0,100000,0
PMS-OPES Implementation (1000.3.7) (Pa's Office)-270204,Maintenance and Other Operating Expenses,100000,0,0,100000,0
Taripnong (Monthly Press Conference) (1000.7.5) (GO/PAIAD)-270205,Taripnong (Monthly Press Conference) (1000.7.5) (GO/PAIAD)-270205,50000,0,0,50000,0
Taripnong (Monthly Press Conference) (1000.7.5) (GO/PAIAD)-270205,Maintenance and Other Operating Expenses,50000,0,0,50000,0
Nueva Vizcaya Geographic Information Project (Identification of the Poor) (1000.9.8)-270206,Nueva Vizcaya Geographic Information Project (Identification of the Poor) (1000.9.8)-270206,492959.23,492959.23,374937.35,0,118021.88
Nueva Vizcaya Geographic Information Project (Identification of the Poor) (1000.9.8)-270206,Maintenance and Other Operating Expenses,492959.23,492959.23,374937.35,0,118021.88
Establishment of the Provincial Investment Promotion Center (1000.10.1) (PPDO)-270207,Establishment of the Provincial Investment Promotion Center (1000.10.1) (PPDO)-270207,300000,0,0,300000,0
Establishment of the Provincial Investment Promotion Center (1000.10.1) (PPDO)-270207,Maintenance and Other Operating Expenses,300000,0,0,300000,0
Operation of Monitoring and Evaluation (1000.11.5) (Ppdo)-270208, Operation of Monitoring & Evaluation (1000.11.5) (Ppdo)-270208,188000,138000,0,50000,138000
Operation of Monitoring and Evaluation (1000.11.5) (Ppdo)-270208,Maintenance and Other Operating Expenses,188000,138000,0,50000,138000
Budget Management Program (Technical Assistance on Strengthening Local Planning And Budget Expenditures Management) (1000.14.1) (PBO)-270209,Budget Management Program (Technical Assistance on Strengthening Local Planning And Budget Expenditures Management) (1000.14.1) (PBO)-270209,747500,317500,83591.18,430000,233908.82
Budget Management Program (Technical Assistance on Strengthening Local Planning And Budget Expenditures Management) (1000.14.1) (PBO)-270209,Maintenance and Other Operating Expenses,702500,272500,83591.18,430000,188908.82
Budget Management Program (Technical Assistance on Strengthening Local Planning And Budget Expenditures Management) (1000.14.1) (PBO)-270209,Capital Outlay,45000,45000,0,0,45000
Door To Door (1000.16.7) (PTO)-270210,Door To Door (1000.16.7) (PTO)-270210,80920,80920,22000,0,58920
Door To Door (1000.16.7) (PTO)-270210,Maintenance and Other Operating Expenses,80920,80920,22000,0,58920
Computerization of Treasury Operations (1000.16.8) (PTO/IT)-270211,Computerization of Treasury Operations (1000.16.8) (PTO/IT)-270211,200000,200000,0,0,200000
Computerization of Treasury Operations (1000.16.8) (PTO/IT)-270211,Maintenance and Other Operating Expenses,200000,200000,0,0,200000
Strengthening the Role of Barangay Treasurers Towards an Effective and Efficient Treasury Operations (1000.16.9) (PTO)-270212,Strengthening the Role of Barangay Treasurers Towards an Effective and Efficient Treasury Operations (1000.16.9) (PTO)-270212,100000,100000,0,0,100000
Strengthening the Role of Barangay Treasurers Towards an Effective and Efficient Treasury Operations (1000.16.9) (PTO)-270212,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
Formulation of Provincial Comprehensive Revenue Plan Project (1000.16.10) (PTO)-270213,Formulation of Provincial Comprehensive Revenue Plan Project (1000.16.10) (PTO)-270213,115000,115000,0,0,115000
Formulation of Provincial Comprehensive Revenue Plan Project (1000.16.10) (PTO)-270213,Maintenance and Other Operating Expenses,115000,115000,0,0,115000
Accounting Documents Stock Room (1000.17.17) (Pacco)-270214,Accounting Documents Stock Room (1000.17.17) (Pacco)-270214,200000,0,0,200000,0
Accounting Documents Stock Room (1000.17.17) (Pacco)-270214,Maintenance and Other Operating Expenses,200000,0,0,200000,0
Database for Remitance System (1000.17-18) (Pacco)-270215,Database for Remitance System (1000.17-18) (Pacco)-270215,50000,0,0,50000,0
Database for Remitance System (1000.17-18) (Pacco)-270215,Maintenance and Other Operating Expenses,50000,0,0,50000,0
Establishment of Law Library (1000.21.9) (PLO)-270216,Establishment of Law Library (1000.21.9) (PLO)-270216,80000,0,0,80000,0
Establishment of Law Library (1000.21.9) (PLO)-270216,Maintenance and Other Operating Expenses,80000,0,0,80000,0
Legal Remedies For Collection of Real Properties (1000.21.11)-270217,Legal Remedies For Collection of Real Properties (1000.21.11)-270217,200000,0,0,200000,0
Legal Remedies For Collection of Real Properties (1000.21.11)-270217,Maintenance and Other Operating Expenses,200000,0,0,200000,0
Upgrading of the Legislative Tracking System (1000.22.3) (SP)-270218,Upgrading of the Legislative Tracking System (1000.22.3) (SP)-270218,200000,0,0,200000,0
Upgrading of the Legislative Tracking System (1000.22.3) (SP)-270218,Maintenance and Other Operating Expenses,200000,0,0,200000,0
"Project: Legislative Research, Assessmsnet and Oversight on SP Working Committees (1000.23.3) (SP)-270219","Project: Legislative Research, Assessmsnet & Oversight on SP Working Committees (1000.23.3) (SP)-270219",1000000,400000,296552.33,600000,103447.67
"Project: Legislative Research, Assessmsnet and Oversight on SP Working Committees (1000.23.3) (SP)-270219",Maintenance and Other Operating Expenses,1000000,400000,296552.33,600000,103447.67
HR on Line (1000.25.10) (PHRMO)-270220,HR on Line (1000.25.10) (PHRMO)-270220,25000,0,0,25000,0
HR on Line (1000.25.10) (PHRMO)-270220,Maintenance and Other Operating Expenses,25000,0,0,25000,0
"Malusog na Empleyado, Maliksi sa Trabaho (1000.26.5) (PHRMO)-270221","Malusog na Empleyado, Maliksi sa Trabaho (1000.26.5) (PHRMO)-270221",28000,0,0,28000,0
"Malusog na Empleyado, Maliksi sa Trabaho (1000.26.5) (PHRMO)-270221",Maintenance and Other Operating Expenses,28000,0,0,28000,0
Gawad Empleyado/Special Awards (1000.28.7) (PHRMO) - 270222,Gawad Empleyado/Special Awards (1000.28.7) (PHRMO) - 270222,50000,0,0,50000,0
Gawad Empleyado/Special Awards (1000.28.7) (PHRMO) - 270222,Maintenance and Other Operating Expenses,50000,0,0,50000,0
Employee Empowerment (1000.28.8) (PHRMO)-270223,Employee Empowerment (1000.28.8) (PHRMO)-270223,66810,66810,0,0,66810
Employee Empowerment (1000.28.8) (PHRMO)-270223,Maintenance and Other Operating Expenses,66810,66810,0,0,66810
Employment Outreach Program (1000.29.1) (Phrmo)-270224,Employment Outreach Program (1000.29.1) (Phrmo)-270224,60000,0,0,60000,0
Employment Outreach Program (1000.29.1) (Phrmo)-270224,Maintenance and Other Operating Expenses,60000,0,0,60000,0
"Construction of ""Rent to Own Stalls"" (10 Stalls) (1000.32.2) (PGSO)-270225","Construction of ""Rent to Own Stalls"" (10 Stalls) (1000.32.2) (PGSO)-270225",500000,0,0,500000,0
"Construction of ""Rent to Own Stalls"" (10 Stalls) (1000.32.2) (PGSO)-270225",Maintenance and Other Operating Expenses,500000,0,0,500000,0
Investigative Assistance Program (1000.38.2) (NBI)-270226,Investigative Assistance Program (1000.38.2) (NBI)-270226,100000,100000,20295.15,0,79704.85
Investigative Assistance Program (1000.38.2) (NBI)-270226,Maintenance and Other Operating Expenses,100000,100000,20295.15,0,79704.85
Information and Education Campaign Against Drug Abuse (1000.39.1) (NVPPO/PDEA/CIDG)-270227,Information and Education Campaign Against Drug Abuse (1000.39.1) (NVPPO/PDEA/CIDG)-270227,100000,100000,48552,0,51448
