program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
Office of the City Local Civil Register- Records Innovation and Development,-,-,30000,30000,-,14291,15709
Office of the City Local Civil Register- Records Innovation and Development,Office Supplies Expense,753,10000,10000,-,8391,1609
Office of the City Local Civil Register- Records Innovation and Development,Other Maintenance and Operating Expenses,969,20000,20000,-,5900,14100
Office of the City Local Civil Register- Mobile Civil Registration,-,-,45000,45000,-,35745.25,9254.75
Office of the City Local Civil Register- Mobile Civil Registration,Training Expenses,-,28000,28000,-,24655,3345
Office of the City Local Civil Register- Mobile Civil Registration,Office Supplies Expenses,-,7000,7000,-,2760,4240
Office of the City Local Civil Register- Mobile Civil Registration,Other Maintenance and Operating Expenses,-,10000,10000,-,8330.25,1669.75
Office of the City Local Civil Register- Capability Building for Linkages and Stakeholders,-,-,20000,20000,-,12508,7492
Office of the City Local Civil Register- Capability Building for Linkages and Stakeholders,Office Supplies Expenses,755,10000,10000,-,5708,4292
Office of the City Local Civil Register- Capability Building for Linkages and Stakeholders,Other Maintenance and Operating Expenses,969,10000,10000,-,6800,3200
Office of the City Local Civil Register- Information Dissemination-Reaching-Out-Task Force,-,-,60000,60000,-,59840.85,159.15
Office of the City Local Civil Register- Information Dissemination-Reaching-Out-Task Force,Other Maintenance and Operating Expenses,969,60000,60000,-,59840.85,159.15
Office of the City Budget,-,1071,350000,350000,-,316262.25,33737.75
Office of the City Budget- Local Finance Committee Research Program,-,-,350000,350000,-,316262.25,33737.75
Office of the City Budget- Local Finance Committee Research Program,Training Expenses,753,200000,200000,-,200000,-
Office of the City Budget- Local Finance Committee Research Program,Office Supplies Expenses,755,70000,70000,-,49416.5,20583.5
Office of the City Budget- Local Finance Committee Research Program,Gasoline Expenses,761,30000,30000,-,24355.75,5644.25
Office of the City Budget- Local Finance Committee Research Program,Other Maintenance and Operating Expenses,969,50000,50000,-,42490,7510
Office of the City Accountant,-,1081,205000,205000,-,185013.75,19986.25
Office of the City Accountant- Computerization Program,-,-,39000,39000,-,38188.75,811.25
Office of the City Accountant- Computerization Program,Other Maintenance and Operating Expenses,969,39000,39000,-,38188.75,811.25
Office of the City Accountant- Information Dissemination Seminar,-,-,46000,46000,-,29865,16135
Office of the City Accountant- Information Dissemination Seminar,Training Expenses,753,46000,46000,-,29865,16135
Office of the City Accountant- Information Dissemination Seminar for Barangay,-,-,120000,120000,-,116960,3040
Office of the City Accountant- Information Dissemination Seminar for Barangay,Training Expenses,753,120000,120000,-,116960,3040
Office of the City Treasurer,-,1091,850000,850000,-,700634.45,149365.55
Office of the City Treasurer- Revenue General Tax Information,-,-,450000,450000,-,317142.67,132857.33
Office of the City Treasurer- Revenue General Tax Information,Training Expenses,753,50000,50000,-,50000,-
Office of the City Treasurer- Revenue General Tax Information,Office Supplies Expenses,755,50000,50000,-,33043.75,16956.25
Office of the City Treasurer- Revenue General Tax Information,Other Maintenance and Operation Expenses,969,350000,350000,-,234098.92,115901.08
Office of the City Treasurer- Computerization Program - BTEP and RPTA,-,-,100000,100000,-,84491.78,15508.22
Office of the City Treasurer- Computerization Program - BTEP and RPTA,Other Maintenance and Operation Expenses,969,100000,100000,-,84491.78,15508.22
Office of the City Treasurer- Operationalization of Committee on Public Auction,-,-,300000,300000,-,299000,1000
Office of the City Treasurer- Operationalization of Committee on Public Auction,Other Maintenance and Operation Expenses,969,300000,300000,-,299000,1000
Office of the City Assessor,-,1101,100000,100000,-,98070,1930
"Office of the City Assessor- Operationalization of Revision Program (GeneralRevision of Assessment Records and Classifications), Validation and Proofreading",-,-,100000,100000,-,98070,1930
"Office of the City Assessor- Operationalization of Revision Program (GeneralRevision of Assessment Records and Classifications), Validation and Proofreading",Other Maintenance and Operating Expenses,969,100000,100000,-,98070,1930
Traffic Enforcement Services,-,1181,3533312.9,3533312.9,-,3361285.65,172027.25
Traffic Enforcement Services- Traffic Enforcement Program,-,-,3533312.9,3533312.9,-,3361285.65,172027.25
Traffic Enforcement Services- Traffic Enforcement Program,Traffic Enforcement Services,-,3533312.9,3533312.9,-,3361285.65,172027.25
Office of the City DILG,-,-,1149720,1149720,-,1029560,120160
Office of the City DILG- Katarungang Pambarangay,-,-,150000,150000,-,145580,4420
Office of the City DILG- Katarungang Pambarangay,Other Maintenance and Operating Expenses,-,150000,150000,-,145580,4420
Office of the City DILG- People's Law Enforcement Board (P L E B),-,-,368920,368920,-,289500,79420
Office of the City DILG- People's Law Enforcement Board (P L E B),Travelling Expenses -Local,751,20000,20000,-,11100,8900
Office of the City DILG- People's Law Enforcement Board (P L E B),Training Expenses,753,20000,20000,-,-,20000
Office of the City DILG- People's Law Enforcement Board (P L E B),Office Supplies Expenses,755,25000,25000,-,-,25000
Office of the City DILG- People's Law Enforcement Board (P L E B),Other Maintenance and Operating Expenses,969,303920,303920,-,278400,25520
Office of the City DILG- City Peace and Order Council (CPOC),-,-,590800,590800,-,554480,36320
Office of the City DILG- City Peace and Order Council (CPOC),Travelling Expenses -Local,751,22000,22000,-,14880,7120
Office of the City DILG- City Peace and Order Council (CPOC),Training Expenses,753,22000,22000,-,6800,15200
Office of the City DILG- City Peace and Order Council (CPOC),Office Supplies Expenses,755,14000,14000,-,-,14000
Office of the City DILG- City Peace and Order Council (CPOC),Other Maintenance and Operating Expenses,969,532800,532800,-,532800,-
Office of the City DILG- Strengthening of Barangay Functionaries or Barangay Leagues,-,-,20000,20000,-,20000,-
Office of the City DILG- Strengthening of Barangay Functionaries or Barangay Leagues,Other Maintenance and Operating Expenses,969,20000,20000,-,20000,-
Office of the City DILG- Capability of Barangay Tanod,-,-,20000,20000,-,20000,-
Office of the City DILG- Capability of Barangay Tanod,Other Maintenance and Operating Expenses,969,20000,20000,-,20000,-
Office of the City Health,-,4411,13294463.25,13274463.25,20000,12369922.95,904540.3
Office of the City Health- Health Program,-,-,4900000,4900000,-,4607736.9,292263.1
Office of the City Health- Health Program,Drugs and Medicines Expenses,759,1500000,1500000,-,1288136.35,211863.65
Office of the City Health- Health Program,"Medical, Dental and Laboratory Supplies Expenses",760,1100000,1100000,-,1019600.55,80399.45
Office of the City Health- Health Program,Emergency Assistance (Medicines Admission),878,2300000,2300000,-,2300000,-
Office of the City Health- Tuberculosis Program,-,-,943800,943800,-,722044.05,221755.95
Office of the City Health- Tuberculosis Program,Trainings Expenses,753,88000,88000,-,87800,200
Office of the City Health- Tuberculosis Program,Office Supplies Expenses,760,25000,25000,-,25000,-
Office of the City Health- Tuberculosis Program,Drugs and Medicines Expenses,759,700000,700000,-,516776.8,183223.2
Office of the City Health- Tuberculosis Program,Med. and Lab. Supplies Expenses,760,100000,100000,-,63867.25,36132.75
Office of the City Health- Tuberculosis Program,Other Maintenance and Operating Expenses,969,30800,30800,-,28600,2200
Office of the City Health- Nutrition Program,-,-,2637500,2637500,-,2577740,59760
Office of the City Health- Nutrition Program,Food Supplies Expenses,758,1500000,1500000,-,1488381.2,11618.8
Office of the City Health- Nutrition Program,Donations,878,948580,948580,-,903200,45380
Office of the City Health- Nutrition Program,Other Supplies Expense (BNS Uniform),765,35000,35000,-,35000,-
Office of the City Health- Nutrition Program,Other Maintenance and Operating Expenses,969,153920,153920,-,151158.8,2761.2
Office of the City Health- City Voluntary Blood Service Program,-,-,616000,616000,-,559656.48,56343.52
Office of the City Health- City Voluntary Blood Service Program,Food Supplies Expenses,758,51000,51000,-,4700,46300
Office of the City Health- City Voluntary Blood Service Program,Donations - DRH,878,166000,166000,-,166000,-
Office of the City Health- City Voluntary Blood Service Program,Donations,878,370000,370000,-,361226.6,8773.4
Office of the City Health- City Voluntary Blood Service Program,Other Maintenance and Operating Expenses,969,29000,29000,-,27729.88,1270.12
Office of the City Health- Population Mgt. and Family Planning Program,-,-,850000,850000,-,768228.13,81771.87
Office of the City Health- Population Mgt. and Family Planning Program,Food Supplies Expenses,758,100000,100000,-,81600,18400
Office of the City Health- Population Mgt. and Family Planning Program,Drugs and Medicines Expenses,759,200000,200000,-,162596.5,37403.5
Office of the City Health- Population Mgt. and Family Planning Program,Other Maintenance And Operating Expenses,969,550000,550000,-,524031.63,25968.37
Office of the City Health- Balik Sigla Program,-,-,1779763.25,1779763.25,-,1670904.64,108858.61
Office of the City Health- Balik Sigla Program,Trainings Expenses,753,30000,30000,-,22920,7080
Office of the City Health- Balik Sigla Program,Medical and Laboratory Supplies Expense,760,100000,100000,-,99879,121
Office of the City Health- Balik Sigla Program,Oher Supplies Expenses,765,20000,20000,-,13558.2,6441.8
Office of the City Health- Balik Sigla Program,General Services,795,1529763.25,1529763.25,-,1459622.44,70140.81
Office of the City Health- Balik Sigla Program,"Capital Outlay- Medical, Dental and Laboratory Equipment",233,100000,100000,-,74925,25075
Office of the City Health- Lunas Ginhawa Program,-,-,915000,915000,-,885396.75,29603.25
Office of the City Health- Lunas Ginhawa Program,Drugs and Medicines Expenses,759,700000,700000,-,696973.25,3026.75
Office of the City Health- Lunas Ginhawa Program,Medical and Laboratory Supplies Expense,760,100000,100000,-,99995.5,4.5
Office of the City Health- Lunas Ginhawa Program,Other Maintenance And Operating Expenses,969,15000,15000,-,13557,1443
Office of the City Health- Lunas Ginhawa Program,Capital Outlay- Medical and Laboratory Equipment,233,100000,100000,-,74871,25129
Office of the City Health- Schistosomiasis Prevention and Control Program,-,-,72400,72400,-,71393.5,1006.5
Office of the City Health- Schistosomiasis Prevention and Control Program,Drugs and Medicine Expense,759,50000,50000,-,49093.5,906.5
Office of the City Health- Schistosomiasis Prevention and Control Program,Other Maintenance And Operating Expenses,969,22400,22400,-,22300,100
Office of the City Health- Prevention and Control of STI or HIV or AIDS,-,-,110000,110000,-,105250.5,4749.5
Office of the City Health- Prevention and Control of STI or HIV or AIDS,Drugs and Medicine Expense,759,70000,70000,-,67940.5,2059.5
Office of the City Health- Prevention and Control of STI or HIV or AIDS,Other Maintenance And Operating Expenses,969,40000,40000,-,37310,2690
Office of the City Health- Rabies Prevention and Control,-,-,225000,225000,-,225000,-
Office of the City Health- Rabies Prevention and Control,Drugs and Medicine Expenses (Vaccines),759,225000,225000,-,225000,-
Office of the City Health- Dengue Prevention and Control,-,-,175000,175000,-,127207,47793
Office of the City Health- Dengue Prevention and Control,Drugs and Medicine Expense,759,100000,100000,-,99727,273
Office of the City Health- Dengue Prevention and Control,Medical and Laboratory Supplies Expenses (Larvicide),760,75000,75000,-,27480,47520
Office of the City Health- Maternal and Child Health,-,-,50000,50000,-,49365,635
Office of the City Health- Maternal and Child Health,Medical and Laboratory Supplies Expenses,760,50000,50000,-,49365,635
Office of the City Health- Environment Health and Sanitation,-,-,20000,-,20000,-,-
Office of the City Health- Environment Health and Sanitation,Other Maintenance And Operating Expenses,969,20000,-,20000,-,-
CMO- Health and Sanitation Division,-,6522,8724455.49,8724455.49,-,8378698.43,345757.06
CMO- Health and Sanitation Division- Health and Sanitation Program,-,-,8724455.49,8724455.49,-,8378698.43,345757.06
CMO- Health and Sanitation Division- Health and Sanitation Program,Environment or Sanitary Services,794,8724455.49,8724455.49,-,8378698.43,345757.06
Office of the City Social Welfare and Development,-,7611,921000,901000,20000,678451.5,222548.5
Office of the City Social Welfare and Development- Senior Citizen Affairs,-,-,450000,450000,-,396430,53570
Office of the City Social Welfare and Development- Senior Citizen Affairs,Donations (City Ordinance number: 139-S 2004),878,300000,300000,-,284000,16000
Office of the City Social Welfare and Development- Senior Citizen Affairs,Other Maintenance and Operating Expense,969,150000,150000,-,112430,37570
Office of the City Social Welfare and Development- Child Labor Program,-,-,50000,50000,-,12150,37850
Office of the City Social Welfare and Development- Child Labor Program,Other Maintenance and Operating Expense,969,50000,50000,-,12150,37850
Office of the City Social Welfare and Development- Disabled Welfare Program,-,-,175000,175000,-,59313.5,115686.5
Office of the City Social Welfare and Development- Disabled Welfare Program,Other Supplies Expense,765,25000,25000,-,913.5,24086.5
Office of the City Social Welfare and Development- Disabled Welfare Program,Donations (Prosthesis or Hearing Aid or Wheel Cart),878,75000,75000,-,19000,56000
